	yearmonth	practice	practice_name	address1	address2	address3	address4	postcode	address_city
5061	201512	M82021	ALBRIGHTON MEDICAL PRACT                	ALBRIGHTON MEDICAL PRACT 	SHAW LANE  ALBRIGHTON    	WOLVERHAMPTON            	                         	WV7 3DT                  	WOLVERHAMPTON                                     
5112	201512	M83018	GRAVEL HILL SURGERY                     	GRAVEL HILL SURGERY      	WOMBOURNE                	WOLVERHAMPTON            	WEST MIDLANDS            	WV5 9HA                  	WOLVERHAMPTON            WEST MIDLANDS            
5123	201512	M83031	RUSSELL HOUSE                           	RUSSELL HOUSE            	BAKERS WAY  CODSALL      	WOLVERHAMPTON            	                         	WV8 1HD                  	WOLVERHAMPTON                                     
5172	201512	M83093	DALE MEDICAL CENTRE                     	DALE MEDICAL PRACTICE    	PLANKS LANE              	WOMBOURNE                	WOLVERHAMPTON            	WV5 8DX                  	WOMBOURNE                WOLVERHAMPTON            
5175	201512	M83097	BILBROOK                                	BILBROOK MEDICAL CENTRE  	BROOKFIELD ROAD  BILBROOK	WOLVERHAMPTON            	WEST MIDLANDS            	WV8 1DX                  	WOLVERHAMPTON            WEST MIDLANDS            
5190	201512	M83125	CLAVERLEY                               	THE SURGERY              	SPICERS CLOSE  CLAVERLEY 	WOLVERHAMPTON            	                         	WV5 7BY                  	WOLVERHAMPTON                                     
5196	201512	M83132	LAKESIDE                                	LAKESIDE MEDICAL CENTRE  	CHURCH ROAD  PERTON      	WOLVERHAMPTON            	                         	WV6 7PD                  	WOLVERHAMPTON                                     
5225	201512	M83668	TAMAR MEDICAL CENTRE                    	TAMAR MEDICAL CENTRE     	SEVERN DRIVE  PERTON     	WOLVERHAMPTON            	                         	WV6 7QL                  	WOLVERHAMPTON                                     
5680	201512	M92001	POPLARS MEDICAL CENTRE                  	POPLARS                  	THIRD AVENUE             	LOW HILL                 	WOLVERHAMPTON            	WV10 9PG                 	LOW HILL                 WOLVERHAMPTON            
5681	201512	M92002	THE GROUP PRACTICE ALFRED SQUIRE ROAD   	ALFRED SQUIRE RD HTH CTR 	ALFRED SQUIRE ROAD       	WEDNESFIELD              	WOLVERHAMPTON            	WV11 1XU                 	WEDNESFIELD              WOLVERHAMPTON            
5683	201512	M92004	PRIMROSE LANE PRACTICE                  	PRIMROSE LANE HEALTH CTR 	PRIMROSE LANE            	LOW HILL                 	WOLVERHAMPTON            	WV10 8RN                 	LOW HILL                 WOLVERHAMPTON            
5684	201512	M92006	COALWAY ROAD MEDICAL PRACTICE           	THE SURGERY              	119 COALWAY RD PENN      	WOLVERHAMPTON            	WEST MIDLANDS            	WV3 7NA                  	WOLVERHAMPTON            WEST MIDLANDS            
5685	201512	M92007	LEA ROAD MEDICAL PRACTICE               	LEA ROAD MEDICAL PRACTICE	35 LEA ROAD PENNFIELDS   	WOLVERHAMPTON            	WEST MIDLANDS            	WV3 0LS                  	WOLVERHAMPTON            WEST MIDLANDS            
5686	201512	M92008	CASTLECROFT MEDICAL PRACTICE            	CASTLECROFT AVENUE       	CASTLECROFT              	WOLVERHAMPTON            	WEST MIDLANDS            	WV3 8JN                  	WOLVERHAMPTON            WEST MIDLANDS            
5687	201512	M92009	PRESTBURY MEDICAL PRACTICE              	81 PRESTWOOD ROAD WEST   	WEDNESFIELD              	WOLVERHAMPTON            	WEST MIDLANDS            	WV11 1HT                 	WOLVERHAMPTON            WEST MIDLANDS            
5688	201512	M92010	TETTENHALL MEDICAL PRACTICE             	HEALTH CENTRE            	LOWER ST TETTENHALL      	WOLVERHAMPTON            	WEST MIDLANDS            	WV6 9LL                  	WOLVERHAMPTON            WEST MIDLANDS            
5689	201512	M92011	PENN MANOR MEDICAL PRACTICE             	PENN MANOR MEDICAL CENTRE	MANOR ROAD  PENN         	WOLVERHAMPTON            	WEST MIDLANDS            	WV4 5PY                  	WOLVERHAMPTON            WEST MIDLANDS            
5690	201512	M92012	DUNCAN STREET PRIMARY CARE PARTNERSHIP  	DUNCAN STREET PCC        	BLAKENHALL               	WOLVERHAMPTON            	WEST MIDLANDS            	WV2 3AN                  	WOLVERHAMPTON            WEST MIDLANDS            
5691	201512	M92013	WODEN ROAD SURGERY                      	THE SURGERY              	WODEN RD HEATH TOWN      	WOLVERHAMPTON            	WEST MIDLANDS            	WV10 0BD                 	WOLVERHAMPTON            WEST MIDLANDS            
5692	201512	M92014	DR FOWLER                               	470 STAFFORD ROAD        	                         	WOLVERHAMPTON            	                         	WV10 6AR                 	WOLVERHAMPTON                                     
5693	201512	M92015	DRS PAHWA                               	BILSTON HEALTH CENTRE    	PROUDS LANE  BILSTON     	WOLVERHAMPTON            	                         	WV14 6PW                 	WOLVERHAMPTON                                     
5694	201512	M92016	TUDOR MEDICAL CENTRE                    	TUDOR MEDICAL CENTRE     	1 TUDOR ROAD HEATH TOWN  	WOLVERHAMPTON            	                         	WV10 0LT                 	WOLVERHAMPTON                                     
5695	201512	M92019	KEATS GROVE SURGERY                     	KEATS GROVE SURGERY      	17 KEATS GROVE           	THE SCOTLANDS            	WOLVERHAMPTON            	WV10 8LY                 	THE SCOTLANDS            WOLVERHAMPTON            
5696	201512	M92022	DRS RAJCHOLAN & GEORGE                  	ASHMORE PARK HEALTH CTR. 	GRIFFITHS DRIVE          	ASHMORE PARK  WEDNESFIELD	WOLVERHAMPTON            	WV11 2LH                 	ASHMORE PARK  WEDNESFIELDWOLVERHAMPTON            
5697	201512	M92024	PARKFIELD MEDICAL CENTRE                	PARKFIELD MEDICAL CENTRE 	255 PARKFIELD ROAD       	PARKFIELDS               	WOLVERHAMPTON            	WV4 6EG                  	PARKFIELDS               WOLVERHAMPTON            
5698	201512	M92026	DR BILAS                                	75 GRIFFITHS DRIVE       	ASHMORE PARK             	WEDNESFIELD              	WOLVERHAMPTON            	WV11 2JN                 	WEDNESFIELD              WOLVERHAMPTON            
5699	201512	M92027	CAERLEON SURGERY                        	CAERLEON SURGERY         	DOVER ST  BILSTON        	WOLVERHAMPTON            	WEST MIDLANDS            	WV14 6AL                 	WOLVERHAMPTON            WEST MIDLANDS            
5700	201512	M92028	THORNLEY STREET MEDICAL CENTRE          	THORNLEY STREET PRACTICE 	40 THORNLEY STREET       	WOLVERHAMPTON            	WEST MIDLANDS            	WV1 1JP                  	WOLVERHAMPTON            WEST MIDLANDS            
5701	201512	M92029	NEWBRIDGE SURGERY                       	THE NEWBRIDGE SURGERY    	255 TETTENHALL ROAD      	WOLVERHAMPTON            	WEST MIDLANDS            	WV6 0DE                  	WOLVERHAMPTON            WEST MIDLANDS            
5703	201512	M92031	DRS PASSI & HANDA                       	LEICESTER STREET MED CTR 	WHITMORE REANS           	WOLVERHAMPTON            	WEST MIDLANDS            	WV6 0PS                  	WOLVERHAMPTON            WEST MIDLANDS            
5704	201512	M92035	ALL SAINTS SURGERY                      	ALL SAINTS SURGERY       	17 CARTWRIGHT STREET     	WOLVERHAMPTON            	WEST MIDLANDS            	WV2 1EU                  	WOLVERHAMPTON            WEST MIDLANDS            
5705	201512	M92039	DR ST PIERRE-LIBBERTON                  	60 CANNOCK ROAD          	WEDNESFIELD              	WOLVERHAMPTON            	WEST MIDLANDS            	WV10 8PJ                 	WOLVERHAMPTON            WEST MIDLANDS            
5706	201512	M92040	MAYFIELD MEDICAL CENTRE                 	272 WILLENHALL ROAD      	                         	WOLVERHAMPTON            	WEST MIDLANDS            	WV1 2GZ                  	WOLVERHAMPTON            WEST MIDLANDS            
5707	201512	M92041	PROBERT ROAD SURGERY                    	PROBERT ROAD             	OXLEY                    	WOLVERHAMPTON            	WEST MIDLANDS            	WV10 6UF                 	WOLVERHAMPTON            WEST MIDLANDS            
5708	201512	M92042	80 TETTENHALL ROAD SURGERY              	80 TETTENHALL ROAD       	TETTENHALL               	WOLVERHAMPTON            	WEST MIDLANDS            	WV1 4TF                  	WOLVERHAMPTON            WEST MIDLANDS            
5709	201512	M92043	PENN SURGERY                            	PENN SURGERY             	2A COALWAY ROAD  PENN    	WOLVERHAMPTON            	WEST MIDLANDS            	WV3 7LR                  	WOLVERHAMPTON            WEST MIDLANDS            
5710	201512	M92607	WHITMORE REANS MEDICAL PRACTICE         	WHITMORE REANS HEALTH CTR	LOWE ST WHITMORE REANS   	WOLVERHAMPTON            	WEST MIDLANDS            	WV6 0QL                  	WOLVERHAMPTON            WEST MIDLANDS            
5711	201512	M92609	ASHFIELD ROAD SURGERY                   	39 ASHFIELD ROAD         	FORDHOUSES               	WOLVERHAMPTON            	WEST MIDLANDS            	WV10 6QX                 	WOLVERHAMPTON            WEST MIDLANDS            
5712	201512	M92612	GROVE MEDICAL CENTRE                    	GROVE MEDICAL CENTRE     	175 STEELHOUSE LANE      	WOLVERHAMPTON            	WEST MIDLANDS            	WV2 2AU                  	WOLVERHAMPTON            WEST MIDLANDS            
5713	201512	M92627	DR SHARMA                               	BILSTON HEALTH CENTRE    	PROUDS LANE BILSTON      	WOLVERHAMPTON            	WEST MIDLANDS            	WV14 6PW                 	WOLVERHAMPTON            WEST MIDLANDS            
5714	201512	M92629	DRS KHARWADKAR & MAJI                   	68 MARSH LANE            	FORDHOUSES               	WOLVERHAMPTON            	WEST MIDLANDS            	WV10 6RU                 	WOLVERHAMPTON            WEST MIDLANDS            
5715	201512	M92630	EAST PARK MEDICAL PRACTICE              	EAST PARK MED. PRACTICE  	JONESFIELD CRS  EAST PARK	WOLVERHAMPTON            	WEST MIDLANDS            	WV1 2LW                  	WOLVERHAMPTON            WEST MIDLANDS            
5716	201512	M92640	TETTENHALL ROAD MEDICAL PRACTICE        	199 TETTENHALL ROAD      	TETTENHALL               	WOLVERHAMPTON            	WEST MIDLANDS            	WV6 0DD                  	WOLVERHAMPTON            WEST MIDLANDS            
5717	201512	M92642	DR MUNDLUR                              	1 SHALE STREET           	BILSTON                  	WOLVERHAMPTON            	                         	WV14 0HF                 	WOLVERHAMPTON                                     
6845	201512	M92643	DR CHRISTOPHER                          	HEATH TOWN MEDICAL CENTRE	CHERVIL RISE             	HEATH TOWN               	WOLVERHAMPTON            	WV10 0HP                 	HEATH TOWN               WOLVERHAMPTON            
7102	201512	M83715	FEATHERSTONE                            	FEATHERSTONE FAMILY H.C. 	OLD LANE (OFF HILTON RD) 	FEATHERSTONE             	WOLVERHAMPTON            	WV10 7BS                 	FEATHERSTONE             WOLVERHAMPTON            
7218	201512	M92044	DRS DE ROSA & WILLIAMS                  	WARSTONES HEALTH CENTRE  	PINFOLD GROVE            	WARSTONES                	WOLVERHAMPTON            	WV4 4PS                  	WARSTONES                WOLVERHAMPTON            
7279	201512	M92654	BAGARY'S MEDICAL PRACTICE               	LOW HILL MEDICAL CENTRE  	191 FIRST AVE  LOW HILL  	WOLVERHAMTPON            	WEST MIDLANDS            	WV10 9SX                 	WOLVERHAMTPON            WEST MIDLANDS            
7452	201512	M92657	SHARED CARE GP LIAISON TEAM             	PITT STREET              	                         	WOLVERHAMPTON            	                         	WV3 0NF                  	WOLVERHAMPTON                                     
7776	201512	Y00954	PRIMECARE OOH                           	PHOENIX HEALTH CENTRE    	PARKFIELD ROAD           	WOLVERHAMPTON            	WEST MIDLANDS            	WV4 6ED                  	WOLVERHAMPTON            WEST MIDLANDS            
8268	201512	Y02594	ESSINGTON MEDICAL CENTRE                	HOBNOCK ROAD             	ESSINGTON                	WOLVERHAMPTON            	                         	WV11 2RF                 	WOLVERHAMPTON                                     
8298	201512	Y02636	INTRA HEALTH LIMITED                    	PENNFIELDS HEALTH CENTRE 	UPPER ZOAR STREET        	WOLVERHAMPTON            	WEST MIDLANDS            	WV3 0JH                  	WOLVERHAMPTON            WEST MIDLANDS            
8351	201512	Y02735	ETTINGSHALL MEDICAL CENTRE              	HERBERT STREET           	                         	WOLVERHAMPTON            	WEST MIDLANDS            	WV14 0NF                 	WOLVERHAMPTON            WEST MIDLANDS            
8352	201512	Y02736	SHOWELL PARK HEALTH & WALK IN CENTRE    	FIFTH AVENUE             	SHOWELL PARK  LOW HILL   	WOLVERHAMPTON            	WEST MIDLANDS            	WV10 9ST                 	WOLVERHAMPTON            WEST MIDLANDS            
8362	201512	Y02757	BILSTON URBAN VILLAGE MEDICAL CENTRE    	BILSTON URBAN VILLAGE    	BANKFIELD RD  BILSTON    	WOLVERHAMPTON            	WEST MIDLANDS            	WV14 0EE                 	WOLVERHAMPTON            WEST MIDLANDS            
8498	201512	Y03018	COMPTON PALLIATIVE CARE TEAM            	COMPTON HOSPICE          	4 COMPTON ROAD WEST      	WOLVERHAMPTON            	                         	WV3 9DH                  	WOLVERHAMPTON                                     
8688	201512	Y03457	COMPTON HOSPICE INPATIENT UNIT          	COMPTON HOSPICE          	4 COMPTON ROAD WEST      	WOLVERHAMPTON            	                         	WV3 9DH                  	WOLVERHAMPTON                                     
9365	201512	Y04442	COMPTON HOSPICE                         	4 COMPTON ROAD WEST      	                         	WOLVERHAMPTON            	                         	WV3 9DH                  	WOLVERHAMPTON                                     
9604	201512	Y04805	PHOENIX WALK IN CENTRE                  	NEW CROSS HOSPITAL       	WEDNESFIELD ROAD         	WOLVERHAMPTON            	WEST MIDLANDS            	WV10 0QP                 	WOLVERHAMPTON            WEST MIDLANDS            
9634	201512	Y04845	ADULT COMMUNITY SERVICES                	NEW CROSS HOSPITAL       	WEDNESFIELD ROAD         	WOLVERHAMPTON            	WEST MIDLANDS            	WV10 0QP                 	WOLVERHAMPTON            WEST MIDLANDS            
9638	201512	Y04857	INFECTION PREVENTION                    	NEW CROSS HOSPITAL       	WEDNESFIELD ROAD         	WOLVERHAMPTON            	WEST MIDLANDS            	WV10 0QP                 	WOLVERHAMPTON            WEST MIDLANDS            
9639	201512	Y04859	TISSUE VIABILITY                        	NEW CROSS HOSPITAL       	WEDNESFIELD ROAD         	WOLVERHAMPTON            	WEST MIDLANDS            	WV10 0QP                 	WOLVERHAMPTON            WEST MIDLANDS            
9642	201512	Y04869	DIABETES NURSE                          	NEW CROSS HOSPITAL       	WEDNESFIELD ROAD         	WOLVERHAMPTON            	WEST MIDLANDS            	WV10 0QP                 	WOLVERHAMPTON            WEST MIDLANDS            
9670	201512	Y04907	COMMUNITY MATRONS                       	NEW CROSS HOSPITAL       	WEDNESFIELD ROAD         	WOLVERHAMPTON            	WEST MIDLANDS            	WV10 0QP                 	WOLVERHAMPTON            WEST MIDLANDS            
9703	201512	Y04946	COMMUNITY CHILDREN'S NURSE              	NEW CROSS HOSPITAL       	WEDNESFIELD ROAD         	WOLVERHAMPTON            	WEST MIDLANDS            	WV10 0QP                 	WOLVERHAMPTON            WEST MIDLANDS            
9709	201512	Y04953	HEALTH VISITORS                         	NEW CROSS HOSPITAL       	WEDNESFIELD ROAD         	WOLVERHAMPTON            	WEST MIDLANDS            	WV10 0QP                 	WOLVERHAMPTON            WEST MIDLANDS            
9721	201512	Y04966	HOME IN REACH TEAM                      	NEW CROSS HOSPITAL       	WEDNESFIELD ROAD         	WOLVERHAMPTON            	WEST MIDLANDS            	WV10 0QP                 	WOLVERHAMPTON            WEST MIDLANDS            
9789	201512	Y05083	DISTRICT NURSES                         	NEW CROSS HOSPITAL       	WEDNESFIELD ROAD         	WOLVERHAMPTON            	WEST MIDLANDS            	WV10 0QP                 	WOLVERHAMPTON            WEST MIDLANDS            
