yearmonth	practice_code	practice	address1	address2	address3	address4	postcode
201512	M82021	ALBRIGHTON MEDICAL PRACT                	ALBRIGHTON MEDICAL PRACT 	SHAW LANE  ALBRIGHTON    	WOLVERHAMPTON            	                         	WV7 3DT                  
201512	M83018	GRAVEL HILL SURGERY                     	GRAVEL HILL SURGERY      	WOMBOURNE                	WOLVERHAMPTON            	WEST MIDLANDS            	WV5 9HA                  
201512	M83031	RUSSELL HOUSE                           	RUSSELL HOUSE            	BAKERS WAY  CODSALL      	WOLVERHAMPTON            	                         	WV8 1HD                  
201512	M83093	DALE MEDICAL CENTRE                     	DALE MEDICAL PRACTICE    	PLANKS LANE              	WOMBOURNE                	WOLVERHAMPTON            	WV5 8DX                  
201512	M83097	BILBROOK                                	BILBROOK MEDICAL CENTRE  	BROOKFIELD ROAD  BILBROOK	WOLVERHAMPTON            	WEST MIDLANDS            	WV8 1DX                  
201512	M83125	CLAVERLEY                               	THE SURGERY              	SPICERS CLOSE  CLAVERLEY 	WOLVERHAMPTON            	                         	WV5 7BY                  
201512	M83132	LAKESIDE                                	LAKESIDE MEDICAL CENTRE  	CHURCH ROAD  PERTON      	WOLVERHAMPTON            	                         	WV6 7PD                  
201512	M83668	TAMAR MEDICAL CENTRE                    	TAMAR MEDICAL CENTRE     	SEVERN DRIVE  PERTON     	WOLVERHAMPTON            	                         	WV6 7QL                  
201512	M83715	FEATHERSTONE                            	FEATHERSTONE FAMILY H.C. 	OLD LANE (OFF HILTON RD) 	FEATHERSTONE             	WOLVERHAMPTON            	WV10 7BS                 
201512	M92001	POPLARS MEDICAL CENTRE                  	POPLARS                  	THIRD AVENUE             	LOW HILL                 	WOLVERHAMPTON            	WV10 9PG                 
201512	M92002	THE GROUP PRACTICE ALFRED SQUIRE ROAD   	ALFRED SQUIRE RD HTH CTR 	ALFRED SQUIRE ROAD       	WEDNESFIELD              	WOLVERHAMPTON            	WV11 1XU                 
201512	M92004	PRIMROSE LANE PRACTICE                  	PRIMROSE LANE HEALTH CTR 	PRIMROSE LANE            	LOW HILL                 	WOLVERHAMPTON            	WV10 8RN                 
